0001.KL,SCOMNET.KL
0002.KL,KOTRA.KL
0005.KL,UCREST.KL
0006.KL,PINEAPP.KL
0007.KL,PUC.KL
0008.KL,WILLOW.KL
0010.KL,IRIS.KL
0011.KL,BTECH.KL
0012.KL,3A.KL
0017.KL,NOVATECH.KL
0018.KL,LAMBO.KL
0020.KL,NETX.KL
0022.KL,PARLO.KL
0023.KL,IFCAMSC.KL
0024.KL,JAG.KL
0025.KL,YBS.KL
0026.KL,NOVAMSC.KL
0028.KL,SCOPE.KL
0029.KL,DIGISTA.KL
0032.KL,REDTONE.KL
0034.KL,MMAG.KL
0035.KL,HEXCAP.KL
0036.KL,KGROUP.KL
0037.KL,RGB.KL
0038.KL,ARTRONIQ.KL
0039.KL,GFM.KL
0040.KL,OPENSYS.KL
0041.KL,AIMAX.KL
0043.KL,MTRONIC.KL
0045.KL,SSB8.KL
0048.KL,ANCOMLB.KL
0049.KL,OCNCASH.KL
0050.KL,SYSTECH.KL
0051.KL,CUSCAPI.KL
0053.KL,OSKVI.KL
0054.KL,KARYON.KL
0055.KL,SERSOL.KL
0056.KL,NCT.KL
0058.KL,JCBNEXT.KL
0059.KL,ECOHLDS.KL
0060.KL,HM.KL
0064.KL,EFFICEN.KL
0065.KL,EFORCE.KL
0066.KL,VSOLAR.KL
0068.KL,ASDION.KL
0069.KL,VINVEST.KL
0070.KL,MQTECH.KL
0072.KL,ERDASAN.KL
0074.KL,GOCEAN.KL
0075.KL,LYC.KL
0078.KL,GDEX.KL
0079.KL,ALRICH.KL
0080.KL,STRAITS.KL
0081.KL,REKATECH.KL
0082.KL,GPACKET.KL
0083.KL,NOTION.KL
0084.KL,FAST.KL
0085.KL,MLAB.KL
0086.KL,YGL.KL
0089.KL,TEXCYCL.KL
0090.KL,ELSOFT.KL
0091.KL,PGB.KL
0092.KL,MTOUCHE.KL
0093.KL,SOLUTN.KL
0094.KL,ZENTECH.KL
0095.KL,MAG.KL
0096.KL,NEXGRAM.KL
0097.KL,VITROX.KL
0098.KL,AUMAS.KL
0099.KL,SCICOM.KL
0100.KL,ESCERAM.KL
0101.KL,TMCLIFE.KL
0102.KL,WAJA.KL
0103.KL,MNC.KL
0104.KL,GENETEC.KL
0105.KL,ASIAPLY.KL
0106.KL,OMAI.KL
0107.KL,EDUSPEC.KL
0108.KL,N2N.KL
0109.KL,SCBUILD.KL
0111.KL,K1.KL
0112.KL,MIKROMB.KL
0113.KL,MMSV.KL
0116.KL,FOCUS.KL
0117.KL,SMRT.KL
0118.KL,TRIVE.KL
0119.KL,APPASIA.KL
0120.KL,VIS.KL
0122.KL,AIM.KL
0123.KL,PRIVA.KL
0126.KL,MICROLN.KL
0127.KL,JHM.KL
0128.KL,FRONTKN.KL
0129.KL,SRIDGE.KL
0131.KL,DFX.KL
0132.KL,TDEX.KL
0133.KL,SANICHI.KL
0136.KL,GREENYB.KL
0138.KL,ZETRIX.KL
0140.KL,XOXNET.KL
0143.KL,KEYASIC.KL
0145.KL,TFP.KL
0146.KL,JFTECH.KL
0147.KL,INNITY.KL
0148.KL,SUNZEN.KL
0149.KL,FIBON.KL
0150.KL,FINTEC.KL
0151.KL,KGB.KL
0152.KL,DGB.KL
0153.KL,OVERSEA.KL
0154.KL,EAH.KL
0155.KL,MGRC.KL
0156.KL,MPAY.KL
0157.KL,FOCUSP.KL
0158.KL,SCC.KL
0159.KL,MMM.KL
0160.KL,HHHCORP.KL
0161.KL,HEXIND.KL
0162.KL,WIDAD.KL
0163.KL,CAREPLS.KL
0165.KL,XOX.KL
0166.KL,INARI.KL
0167.KL,MCLEAN.KL
0168.KL,BMGREEN.KL
0169.KL,SMTRACK.KL
0170.KL,KANGER.KL
0171.KL,PLABS.KL
0172.KL,OCK.KL
0173.KL,CATCHA.KL
0174.KL,EVD.KL
0175.KL,HHRG.KL
0176.KL,KRONO.KL
0177.KL,MIDTOWN.KL
0178.KL,SEDANIA.KL
0179.KL,BIOHLDG.KL
0180.KL,KTC.KL
0181.KL,AEMULUS.KL
0182.KL,LKL.KL
0183.KL,SALUTE.KL
0185.KL,HSSEB.KL
0186.KL,PTRANS.KL
0187.KL,BCMALL.KL
0188.KL,HLT.KL
0189.KL,MATANG.KL
0190.KL,ESAFE.KL
0191.KL,CABNET.KL
0192.KL,INTA.KL
0193.KL,KINERGY.KL
0195.KL,BINACOM.KL
0196.KL,QES.KL
0197.KL,WEGMANS.KL
0198.KL,GDB.KL
0199.KL,TRIMODE.KL
0200.KL,REVENUE.KL
0201.KL,NOVA.KL
0202.KL,RGTECH.KL
0203.KL,SMETRIC.KL
0205.KL,DPIH.KL
0206.KL,NADIBHD.KL
0207.KL,MESTRON.KL
0208.KL,GREATEC.KL
0209.KL,AIMFLEX.KL
0210.KL,KHJB.KL
0211.KL,TASHIN.KL
0212.KL,SDS.KL
0213.KL,MTAG.KL
0215.KL,SLVEST.KL
0216.KL,SPRING.KL
0217.KL,PWRWELL.KL
0218.KL,ACO.KL
0219.KL,RL.KL
0220.KL,OVH.KL
0221.KL,TCS.KL
0222.KL,OPTIMAX.KL
0223.KL,SAMAIDEN.KL
0225.KL,SCGBHD.KL
0226.KL,ANEKA.KL
0227.KL,EFRAME.KL
0228.KL,HPPHB.KL
0229.KL,MOBILIA.KL
0230.KL,TELADAN.KL
0231.KL,FLEXI.KL
0232.KL,VOLCANO.KL
0233.KL,PEKAT.KL
0235.KL,NESTCON.KL
0236.KL,RAMSSOL.KL
0237.KL,HAILY.KL
0238.KL,CEKD.KL
0239.KL,ECOMATE.KL
0240.KL,CORAZA.KL
0241.KL,TAGHILL.KL
0242.KL,PPJACK.KL
0243.KL,CENGILD.KL
0245.KL,MNHLDG.KL
0246.KL,CNERGEN.KL
0247.KL,UNITRAD.KL
0248.KL,YEWLEE.KL
0249.KL,LGMS.KL
0250.KL,YXPM.KL
0251.KL,SFPTECH.KL
0252.KL,ORGABIO.KL
0253.KL,INFOTEC.KL
0255.KL,EIB.KL
0256.KL,UMC.KL
0257.KL,UNIQUE.KL
0258.KL,AGMO.KL
0259.KL,SNS.KL
0260.KL,PTRB.KL
0261.KL,COSMOS.KL
0262.KL,SUNVIEW.KL
0263.KL,BETA.KL
0265.KL,INFOM.KL
0266.KL,LEFORM.KL
0267.KL,ECA.KL
0268.KL,L&PBHD.KL
0269.KL,DSS.KL
0270.KL,NATGATE.KL
0271.KL,WELLS.KL
0272.KL,TTVHB.KL
0273.KL,VLB.KL
0275.KL,OPPSTAR.KL
0276.KL,ADB.KL
0277.KL,CLOUDPT.KL
0278.KL,EDELTEQ.KL
0279.KL,SYNERGY.KL
0280.KL,MBN.KL
0281.KL,DAY3.KL
0282.KL,KGW.KL
0283.KL,DCHCARE.KL
0284.KL,GLXT.KL
0285.KL,MERSEC.KL
0286.KL,EMCC.KL
0287.KL,SSF.KL
0288.KL,MINOX.KL
